,HCPCS,DESCRIPTION,WORK RVU,FACILITY PE RVU,MP RVU,FACILITY TOTAL
117,A4316,Cath w/drainage 3-way,0.0,0.0,0.0,0.0
118,A4320,Irrigation tray,0.0,0.0,0.0,0.0
119,A4321,Cath therapeutic irrig agent,0.0,0.0,0.0,0.0
120,A4322,Irrigation syringe,0.0,0.0,0.0,0.0
121,A4326,Male external catheter,0.0,0.0,0.0,0.0
122,A4327,Fem urinary collect dev cup,0.0,0.0,0.0,0.0
123,A4328,Fem urinary collect pouch,0.0,0.0,0.0,0.0
124,A4330,Stool collection pouch,0.0,0.0,0.0,0.0
125,A4331,Extension drainage tubing,0.0,0.0,0.0,0.0
126,A4332,Lube sterile packet,0.0,0.0,0.0,0.0
127,A4333,Urinary cath anchor device,0.0,0.0,0.0,0.0
128,A4334,Urinary cath leg strap,0.0,0.0,0.0,0.0
129,A4335,Incontinence supply,0.0,0.0,0.0,0.0
130,A4336,Urethral insert,0.0,0.0,0.0,0.0
131,A4337,Incontinent rectal insert,0.0,0.0,0.0,0.0
132,A4338,Indwelling catheter latex,0.0,0.0,0.0,0.0
133,A4340,Indwelling catheter special,0.0,0.0,0.0,0.0
134,A4344,Cath indw foley 2 way silicn,0.0,0.0,0.0,0.0
135,A4346,Cath indw foley 3 way,0.0,0.0,0.0,0.0
136,A4349,Disposable male external cat,0.0,0.0,0.0,0.0
137,A4351,Straight tip urine catheter,0.0,0.0,0.0,0.0
138,A4352,Coude tip urinary catheter,0.0,0.0,0.0,0.0
139,A4353,Intermittent urinary cath,0.0,0.0,0.0,0.0
140,A4354,Cath insertion tray w/bag,0.0,0.0,0.0,0.0
141,A4355,Bladder irrigation tubing,0.0,0.0,0.0,0.0
142,A4356,Ext ureth clmp or compr dvc,0.0,0.0,0.0,0.0
143,A4357,Bedside drainage bag,0.0,0.0,0.0,0.0
144,A4358,Urinary leg or abdomen bag,0.0,0.0,0.0,0.0
145,A4360,Disposable ext urethral dev,0.0,0.0,0.0,0.0
146,A4361,Ostomy face plate,0.0,0.0,0.0,0.0
147,A4362,Solid skin barrier,0.0,0.0,0.0,0.0
148,A4363,"Ostomy clamp, replacement",0.0,0.0,0.0,0.0
149,A4364,"Adhesive, liquid or equal",0.0,0.0,0.0,0.0
150,A4366,Ostomy vent,0.0,0.0,0.0,0.0
151,A4367,Ostomy belt,0.0,0.0,0.0,0.0
152,A4368,Ostomy filter,0.0,0.0,0.0,0.0
153,A4369,Skin barrier liquid per oz,0.0,0.0,0.0,0.0
154,A4371,Skin barrier powder per oz,0.0,0.0,0.0,0.0
155,A4372,Skin barrier solid 4x4 equiv,0.0,0.0,0.0,0.0
156,A4373,Skin barrier with flange,0.0,0.0,0.0,0.0
157,A4375,Drainable plastic pch w fcpl,0.0,0.0,0.0,0.0
158,A4376,Drainable rubber pch w fcplt,0.0,0.0,0.0,0.0
159,A4377,Drainable plstic pch w/o fp,0.0,0.0,0.0,0.0
160,A4378,Drainable rubber pch w/o fp,0.0,0.0,0.0,0.0
161,A4379,Urinary plastic pouch w fcpl,0.0,0.0,0.0,0.0
162,A4380,Urinary rubber pouch w fcplt,0.0,0.0,0.0,0.0
163,A4381,Urinary plastic pouch w/o fp,0.0,0.0,0.0,0.0
164,A4382,Urinary hvy plstc pch w/o fp,0.0,0.0,0.0,0.0
165,A4383,Urinary rubber pouch w/o fp,0.0,0.0,0.0,0.0
166,A4384,Ostomy faceplt/silicone ring,0.0,0.0,0.0,0.0
167,A4385,Ost skn barrier sld ext wear,0.0,0.0,0.0,0.0
168,A4387,Ost clsd pouch w att st barr,0.0,0.0,0.0,0.0
169,A4388,Drainable pch w ex wear barr,0.0,0.0,0.0,0.0
170,A4389,Drainable pch w st wear barr,0.0,0.0,0.0,0.0
171,A4390,Drainable pch ex wear convex,0.0,0.0,0.0,0.0
172,A4391,Urinary pouch w ex wear barr,0.0,0.0,0.0,0.0
173,A4392,Urinary pouch w st wear barr,0.0,0.0,0.0,0.0
174,A4393,Urine pch w ex wear bar conv,0.0,0.0,0.0,0.0
175,A4394,Ostomy pouch liq deodorant,0.0,0.0,0.0,0.0
176,A4395,Ostomy pouch solid deodorant,0.0,0.0,0.0,0.0
177,A4396,Peristomal hernia supprt blt,0.0,0.0,0.0,0.0
178,A4398,Ostomy irrigation bag,0.0,0.0,0.0,0.0
179,A4399,Ostomy irrig cone/cath w brs,0.0,0.0,0.0,0.0
180,A4400,Ostomy irrigation set,0.0,0.0,0.0,0.0
181,A4402,Lubricant per ounce,0.0,0.0,0.0,0.0
182,A4404,Ostomy ring each,0.0,0.0,0.0,0.0
183,A4405,Nonpectin based ostomy paste,0.0,0.0,0.0,0.0
184,A4406,Pectin based ostomy paste,0.0,0.0,0.0,0.0
185,A4407,"Ext wear ost skn barr <=4sq""",0.0,0.0,0.0,0.0
186,A4408,"Ext wear ost skn barr >4sq""",0.0,0.0,0.0,0.0
187,A4409,Ost skn barr convex <=4 sq i,0.0,0.0,0.0,0.0
188,A4410,Ost skn barr extnd >4 sq,0.0,0.0,0.0,0.0
189,A4411,Ost skn barr extnd =4sq,0.0,0.0,0.0,0.0
190,A4412,Ost pouch drain high output,0.0,0.0,0.0,0.0
191,A4413,2 pc drainable ost pouch,0.0,0.0,0.0,0.0
192,A4414,Ost sknbar w/o conv<=4 sq in,0.0,0.0,0.0,0.0
193,A4415,Ost skn barr w/o conv >4 sqi,0.0,0.0,0.0,0.0
194,A4416,Ost pch clsd w barrier/filtr,0.0,0.0,0.0,0.0
195,A4417,Ost pch w bar/bltinconv/fltr,0.0,0.0,0.0,0.0
196,A4418,Ost pch clsd w/o bar w filtr,0.0,0.0,0.0,0.0
197,A4419,Ost pch for bar w flange/flt,0.0,0.0,0.0,0.0
198,A4420,Ost pch clsd for bar w lk fl,0.0,0.0,0.0,0.0
199,A4421,Ostomy supply misc,0.0,0.0,0.0,0.0
200,A4422,Ost pouch absorbent material,0.0,0.0,0.0,0.0
201,A4423,Ost pch for bar w lk fl/fltr,0.0,0.0,0.0,0.0
202,A4424,Ost pch drain w bar & filter,0.0,0.0,0.0,0.0
203,A4425,Ost pch drain for barrier fl,0.0,0.0,0.0,0.0
204,A4426,Ost pch drain 2 piece system,0.0,0.0,0.0,0.0
205,A4427,Ost pch drain/barr lk flng/f,0.0,0.0,0.0,0.0
206,A4428,Urine ost pouch w faucet/tap,0.0,0.0,0.0,0.0
207,A4429,Urine ost pouch w bltinconv,0.0,0.0,0.0,0.0
208,A4430,Ost urine pch w b/bltin conv,0.0,0.0,0.0,0.0
209,A4431,Ost pch urine w barrier/tapv,0.0,0.0,0.0,0.0
210,A4432,Os pch urine w bar/fange/tap,0.0,0.0,0.0,0.0
211,A4433,Urine ost pch bar w lock fln,0.0,0.0,0.0,0.0
212,A4434,Ost pch urine w lock flng/ft,0.0,0.0,0.0,0.0
213,A4435,1pc ost pch drain hgh output,0.0,0.0,0.0,0.0
214,A4436,Irr supply sleev reus per mo,0.0,0.0,0.0,0.0
215,A4437,Irr supply sleev disp per mo,0.0,0.0,0.0,0.0
216,A4450,Non-waterproof tape,0.0,0.0,0.0,0.0
217,A4452,Waterproof tape,0.0,0.0,0.0,0.0
218,A4453,Rec cath man pump enema repl,0.0,0.0,0.0,0.0
219,A4455,Adhesive remover per ounce,0.0,0.0,0.0,0.0
220,A4456,"Adhesive remover, wipes",0.0,0.0,0.0,0.0
221,A4458,Reusable enema bag,0.0,0.0,0.0,0.0
222,A4459,"Manual pump enema, reusable",0.0,0.0,0.0,0.0
223,A4461,Surgicl dress hold non-reuse,0.0,0.0,0.0,0.0
224,A4463,Surgical dress holder reuse,0.0,0.0,0.0,0.0
225,A4465,Non-elastic extremity binder,0.0,0.0,0.0,0.0
226,A4467,Belt strap sleev grmnt cover,0.0,0.0,0.0,0.0
227,A4470,Gravlee jet washer,0.0,0.0,0.0,0.0
228,A4480,Vabra aspirator,0.0,0.0,0.0,0.0
229,A4481,Tracheostoma filter,0.0,0.0,0.0,0.0
230,A4483,Moisture exchanger,0.0,0.0,0.0,0.0
231,A4490,Above knee surgical stocking,0.0,0.0,0.0,0.0
232,A4495,Thigh length surg stocking,0.0,0.0,0.0,0.0
233,A4500,Below knee surgical stocking,0.0,0.0,0.0,0.0
234,A4510,Full length surg stocking,0.0,0.0,0.0,0.0
235,A4520,Incontinence garment anytype,0.0,0.0,0.0,0.0
236,A4550,Surgical trays,0.0,0.0,0.0,0.0
237,A4553,"Nondisp underpads, all sizes",0.0,0.0,0.0,0.0
238,A4554,Disposable underpads,0.0,0.0,0.0,0.0
239,A4555,Ca tx e-stim electr/transduc,0.0,0.0,0.0,0.0
240,A4556,"Electrodes, pair",0.0,0.0,0.0,0.0
241,A4557,"Lead wires, pair",0.0,0.0,0.0,0.0
242,A4558,Conductive gel or paste,0.0,0.0,0.0,0.0
243,A4559,Coupling gel or paste,0.0,0.0,0.0,0.0
244,A4561,"Pessary rubber, any type",0.0,0.0,0.0,0.0
245,A4562,"Pessary, non rubber,any type",0.0,0.0,0.0,0.0
246,A4563,Vag inser rectal control sys,0.0,0.0,0.0,0.0
247,A4565,Slings,0.0,0.0,0.0,0.0
248,A4566,Should sling/vest/abrestrain,0.0,0.0,0.0,0.0
249,A4570,Splint,0.0,0.0,0.0,0.0
250,A4575,Hyperbaric o2 chamber disps,0.0,0.0,0.0,0.0
251,A4580,Cast supplies (plaster),0.0,0.0,0.0,0.0
252,A4590,Special casting material,0.0,0.0,0.0,0.0
253,A4595,Tens suppl 2 lead per month,0.0,0.0,0.0,0.0
254,A4600,"Sleeve, inter limb comp dev",0.0,0.0,0.0,0.0
255,A4601,Lith ion non prosth recharge,0.0,0.0,0.0,0.0
256,A4602,Replace lithium battery 1.5v,0.0,0.0,0.0,0.0
257,A4604,Tubing with heating element,0.0,0.0,0.0,0.0
258,A4605,Trach suction cath close sys,0.0,0.0,0.0,0.0
259,A4606,Oxygen probe used w oximeter,0.0,0.0,0.0,0.0
260,A4608,Transtracheal oxygen cath,0.0,0.0,0.0,0.0
261,A4611,Heavy duty battery,0.0,0.0,0.0,0.0
262,A4612,Battery cables,0.0,0.0,0.0,0.0
263,A4613,Battery charger,0.0,0.0,0.0,0.0
264,A4614,Hand-held pefr meter,0.0,0.0,0.0,0.0
265,A4615,Cannula nasal,0.0,0.0,0.0,0.0
266,A4616,Tubing (oxygen) per foot,0.0,0.0,0.0,0.0
267,A4617,Mouth piece,0.0,0.0,0.0,0.0
268,A4618,Breathing circuits,0.0,0.0,0.0,0.0
269,A4619,Face tent,0.0,0.0,0.0,0.0
270,A4620,Variable concentration mask,0.0,0.0,0.0,0.0
271,A4623,Tracheostomy inner cannula,0.0,0.0,0.0,0.0
272,A4624,Tracheal suction tube,0.0,0.0,0.0,0.0
273,A4625,Trach care kit for new trach,0.0,0.0,0.0,0.0
274,A4626,Tracheostomy cleaning brush,0.0,0.0,0.0,0.0
275,A4627,Spacer bag/reservoir,0.0,0.0,0.0,0.0
276,A4628,Oropharyngeal suction cath,0.0,0.0,0.0,0.0
277,A4629,Tracheostomy care kit,0.0,0.0,0.0,0.0
278,A4630,Repl bat t.e.n.s. own by pt,0.0,0.0,0.0,0.0
279,A4633,Uvl replacement bulb,0.0,0.0,0.0,0.0
280,A4634,Replacement bulb th lightbox,0.0,0.0,0.0,0.0
281,A4635,Underarm crutch pad,0.0,0.0,0.0,0.0
282,A4636,Handgrip for cane etc,0.0,0.0,0.0,0.0
283,A4637,Repl tip cane/crutch/walker,0.0,0.0,0.0,0.0
284,A4638,Repl batt pulse gen sys,0.0,0.0,0.0,0.0
285,A4639,Infrared ht sys replcmnt pad,0.0,0.0,0.0,0.0
286,A4640,Alternating pressure pad,0.0,0.0,0.0,0.0
287,A4641,Radiopharm dx agent noc,0.0,0.0,0.0,0.0
288,A4642,In111 satumomab,0.0,0.0,0.0,0.0
289,A4648,Implantable tissue marker,0.0,0.0,0.0,0.0
290,A4649,Surgical supplies,0.0,0.0,0.0,0.0
291,A4650,Implant radiation dosimeter,0.0,0.0,0.0,0.0
292,A4651,Calibrated microcap tube,0.0,0.0,0.0,0.0
293,A4652,Microcapillary tube sealant,0.0,0.0,0.0,0.0
294,A4653,Pd catheter anchor belt,0.0,0.0,0.0,0.0
295,A4657,Syringe w/wo needle,0.0,0.0,0.0,0.0
296,A4660,Sphyg/bp app w cuff and stet,0.0,0.0,0.0,0.0
297,A4663,Dialysis blood pressure cuff,0.0,0.0,0.0,0.0
298,A4670,"Automatic bp monitor, dial",0.0,0.0,0.0,0.0
299,A4671,Disposable cycler set,0.0,0.0,0.0,0.0
300,A4672,"Drainage ext line, dialysis",0.0,0.0,0.0,0.0
301,A4673,Ext line w easy lock connect,0.0,0.0,0.0,0.0
302,A4674,"Chem/antisept solution, 8oz",0.0,0.0,0.0,0.0
303,A4680,"Activated carbon filter, ea",0.0,0.0,0.0,0.0
304,A4690,"Dialyzer, each",0.0,0.0,0.0,0.0
305,A4706,Bicarbonate conc sol per gal,0.0,0.0,0.0,0.0
306,A4707,Bicarbonate conc pow per pac,0.0,0.0,0.0,0.0
307,A4708,Acetate conc sol per gallon,0.0,0.0,0.0,0.0
308,A4709,Acid conc sol per gallon,0.0,0.0,0.0,0.0
309,A4714,Treated water per gallon,0.0,0.0,0.0,0.0
310,A4719,"""y set"" tubing",0.0,0.0,0.0,0.0
311,A4720,Dialysat sol fld vol > 249cc,0.0,0.0,0.0,0.0
312,A4721,Dialysat sol fld vol > 999cc,0.0,0.0,0.0,0.0
313,A4722,Dialys sol fld vol > 1999cc,0.0,0.0,0.0,0.0
314,A4723,Dialys sol fld vol > 2999cc,0.0,0.0,0.0,0.0
315,A4724,Dialys sol fld vol > 3999cc,0.0,0.0,0.0,0.0
316,A4725,Dialys sol fld vol > 4999cc,0.0,0.0,0.0,0.0
317,A4726,Dialys sol fld vol > 5999cc,0.0,0.0,0.0,0.0
318,A4728,"Dialysate solution, non-dex",0.0,0.0,0.0,0.0
319,A4730,"Fistula cannulation set, ea",0.0,0.0,0.0,0.0
320,A4736,"Topical anesthetic, per gram",0.0,0.0,0.0,0.0
321,A4737,Inj anesthetic per 10 ml,0.0,0.0,0.0,0.0
322,A4740,Shunt accessory,0.0,0.0,0.0,0.0
323,A4750,Art or venous blood tubing,0.0,0.0,0.0,0.0
324,A4755,Comb art/venous blood tubing,0.0,0.0,0.0,0.0
325,A4760,"Dialysate sol test kit, each",0.0,0.0,0.0,0.0
326,A4765,Dialysate conc pow per pack,0.0,0.0,0.0,0.0
327,A4766,Dialysate conc sol add 10 ml,0.0,0.0,0.0,0.0
328,A4770,Blood collection tube/vacuum,0.0,0.0,0.0,0.0
329,A4771,Serum clotting time tube,0.0,0.0,0.0,0.0
330,A4772,Blood glucose test strips,0.0,0.0,0.0,0.0
331,A4773,Occult blood test strips,0.0,0.0,0.0,0.0
332,A4774,Ammonia test strips,0.0,0.0,0.0,0.0
333,A4802,Protamine sulfate per 50 mg,0.0,0.0,0.0,0.0
334,A4860,Disposable catheter tips,0.0,0.0,0.0,0.0
335,A4870,Plumb/elec wk hm hemo equip,0.0,0.0,0.0,0.0
336,A4890,Repair/maint cont hemo equip,0.0,0.0,0.0,0.0
337,A4911,Drain bag/bottle,0.0,0.0,0.0,0.0
338,A4913,Misc dialysis supplies noc,0.0,0.0,0.0,0.0
339,A4918,Venous pressure clamp,0.0,0.0,0.0,0.0
340,A4927,Non-sterile gloves,0.0,0.0,0.0,0.0
341,A4928,Surgical mask,0.0,0.0,0.0,0.0
342,A4929,"Tourniquet for dialysis, ea",0.0,0.0,0.0,0.0
343,A4930,"Sterile, gloves per pair",0.0,0.0,0.0,0.0
344,A4931,Reusable oral thermometer,0.0,0.0,0.0,0.0
345,A4932,Reusable rectal thermometer,0.0,0.0,0.0,0.0
346,A5051,Pouch clsd w barr attached,0.0,0.0,0.0,0.0
347,A5052,Clsd ostomy pouch w/o barr,0.0,0.0,0.0,0.0
348,A5053,Clsd ostomy pouch faceplate,0.0,0.0,0.0,0.0
349,A5054,Clsd ostomy pouch w/flange,0.0,0.0,0.0,0.0
350,A5055,Stoma cap,0.0,0.0,0.0,0.0
351,A5056,1 pc ost pouch w filter,0.0,0.0,0.0,0.0
352,A5057,1 pc ost pou w built-in conv,0.0,0.0,0.0,0.0
353,A5061,Pouch drainable w barrier at,0.0,0.0,0.0,0.0
354,A5062,Drnble ostomy pouch w/o barr,0.0,0.0,0.0,0.0
355,A5063,Drain ostomy pouch w/flange,0.0,0.0,0.0,0.0
356,A5071,Urinary pouch w/barrier,0.0,0.0,0.0,0.0
357,A5072,Urinary pouch w/o barrier,0.0,0.0,0.0,0.0
358,A5073,Urinary pouch on barr w/flng,0.0,0.0,0.0,0.0
359,A5081,"Stoma plug or seal, any type",0.0,0.0,0.0,0.0
360,A5082,Continent stoma catheter,0.0,0.0,0.0,0.0
361,A5083,Stoma absorptive cover,0.0,0.0,0.0,0.0
362,A5093,Ostomy accessory convex inse,0.0,0.0,0.0,0.0
363,A5102,Bedside drain btl w/wo tube,0.0,0.0,0.0,0.0
364,A5105,Urinary suspensory,0.0,0.0,0.0,0.0
365,A5112,Urinary leg bag,0.0,0.0,0.0,0.0
366,A5113,Latex leg strap,0.0,0.0,0.0,0.0
367,A5114,Foam/fabric leg strap,0.0,0.0,0.0,0.0
368,A5120,"Skin barrier, wipe or swab",0.0,0.0,0.0,0.0
369,A5121,Solid skin barrier 6x6,0.0,0.0,0.0,0.0
370,A5122,Solid skin barrier 8x8,0.0,0.0,0.0,0.0
371,A5126,Disk/foam pad +or- adhesive,0.0,0.0,0.0,0.0
372,A5131,Appliance cleaner,0.0,0.0,0.0,0.0
373,A5200,Percutaneous catheter anchor,0.0,0.0,0.0,0.0
374,A5500,Diab shoe for density insert,0.0,0.0,0.0,0.0
375,A5501,Diabetic custom molded shoe,0.0,0.0,0.0,0.0
376,A5503,Diabetic shoe w/roller/rockr,0.0,0.0,0.0,0.0
377,A5504,Diabetic shoe with wedge,0.0,0.0,0.0,0.0
378,A5505,Diab shoe w/metatarsal bar,0.0,0.0,0.0,0.0
379,A5506,Diabetic shoe w/off set heel,0.0,0.0,0.0,0.0
380,A5507,Modification diabetic shoe,0.0,0.0,0.0,0.0
381,A5508,Diabetic deluxe shoe,0.0,0.0,0.0,0.0
382,A5510,Compression form shoe insert,0.0,0.0,0.0,0.0
383,A5512,Multi den insert direct form,0.0,0.0,0.0,0.0
384,A5513,Multi den insert custom mold,0.0,0.0,0.0,0.0
385,A5514,Mult den insert dir carv/cam,0.0,0.0,0.0,0.0
386,A6000,Wound warming wound cover,0.0,0.0,0.0,0.0
387,A6010,Collagen based wound filler,0.0,0.0,0.0,0.0
388,A6011,Collagen gel/paste wound fil,0.0,0.0,0.0,0.0
389,A6021,Collagen dressing <=16 sq in,0.0,0.0,0.0,0.0
390,A6022,Collagen drsg>16<=48 sq in,0.0,0.0,0.0,0.0
391,A6023,Collagen dressing >48 sq in,0.0,0.0,0.0,0.0
392,A6024,Collagen dsg wound filler,0.0,0.0,0.0,0.0
393,A6025,"Silicone gel sheet, each",0.0,0.0,0.0,0.0
394,A6154,Wound pouch each,0.0,0.0,0.0,0.0
395,A6196,Alginate dressing <=16 sq in,0.0,0.0,0.0,0.0
396,A6197,Alginate drsg >16 <=48 sq in,0.0,0.0,0.0,0.0
397,A6198,Alginate dressing > 48 sq in,0.0,0.0,0.0,0.0
398,A6199,Alginate drsg wound filler,0.0,0.0,0.0,0.0
399,A6203,Composite drsg <= 16 sq in,0.0,0.0,0.0,0.0
400,A6204,Composite drsg >16<=48 sq in,0.0,0.0,0.0,0.0
401,A6205,Composite drsg > 48 sq in,0.0,0.0,0.0,0.0
402,A6206,Contact layer <= 16 sq in,0.0,0.0,0.0,0.0
403,A6207,Contact layer >16<= 48 sq in,0.0,0.0,0.0,0.0
